"subNumber","automation","nback","runNumber","eventType","type","steering","rt","jerk","minTTC","crash","Age"
6,"PAD","No Task",4,"ONCOMING_VEHICLES","Mainly brake",0,0.550000000000011,0.729718071546569,0.137142932226107,0,43
6,"PAD","No Task",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.44999999999999,-1.22941548034802,0.86143894888766,0,43
6,"PAD","No Task",4,"RIGHT_PEDESTRIAN","Mainly brake",0,1.91659999999996,-0.803208650349761,1.13675458123786,0,43
7,"PAD","No Task",1,"RIGHT_PEDESTRIAN","Brake and steer",1,2.61670000000004,0.0113275378592024,0.016137042416322,0,39
7,"PAD","No Task",1,"ONCOMING_VEHICLES","Mainly brake",0,1.40000000000003,1.32534456046243,0,1,39
7,"PAD","No Task",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.75,0.675400159475481,1.71602563372063,0,39
7,"MD","No Task",2,"ONCOMING_VEHICLES","Mainly brake",0,0.683400000000006,0.748112405161938,0.193296362147954,0,39
7,"MD","No Task",2,"LEFT_PEDESTRIAN","Mainly brake",0,2.36670000000004,-0.219128950211584,1.59692511247662,0,39
7,"MD","2-Back",3,"LEFT_PEDESTRIAN","Mainly brake",0,1.89999999999998,-0.31725465539315,1.13079652199741,0,39
7,"PAD","2-Back",4,"LEFT_PEDESTRIAN","Mainly brake",0,2.1833,1.02655942324319,1.34916929326379,0,39
7,"PAD","2-Back",4,"RIGHT_PEDESTRIAN","Mainly brake",0,1.33339999999998,-1.19074086082583,0.501432696366051,0,39
7,"PAD","2-Back",4,"ONCOMING_VEHICLES","Mainly brake",0,0.733300000000042,1.18341271649647,0.0457225652009559,0,39
8,"PAD","No Task",1,"RIGHT_PEDESTRIAN","Mainly brake",0,2.59999999999999,0.625689234645379,0,1,41
8,"PAD","No Task",1,"ONCOMING_VEHICLES","Mainly brake",0,-0.38330000000002,0.285840248649061,1.77123824969747,0,41
8,"PAD","No Task",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.78340000000003,0.766843978533106,1.66621581765524,0,41
8,"MD","No Task",2,"ONCOMING_VEHICLES","Mainly brake",0,1.18340000000001,0.491635334742293,0.947082976235256,0,41
8,"MD","No Task",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.0333,-0.2359810937692,2.35396245550304,0,41
8,"MD","No Task",2,"LEFT_PEDESTRIAN","Mainly brake",0,1.43330000000003,0.726932444649107,0,1,41
8,"PAD","2-Back",3,"LEFT_PEDESTRIAN","Mainly brake",0,1.10000000000002,-0.286382063642055,2.26793075822003,0,41
8,"MD","2-Back",4,"ONCOMING_VEHICLES","Mainly brake",0,0.616700000000009,0.605519920851023,1.40653926954335,0,41
9,"PAD","No Task",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.23329999999999,-1.01438692634564,1.97191457250562,0,62
9,"PAD","No Task",1,"ONCOMING_VEHICLES","Mainly brake",0,-0.766600000000039,-0.432011638492368,0,1,62
9,"MD","2-Back",2,"ONCOMING_VEHICLES","Mainly brake",0,-0.800000000000011,-0.677732881563751,0.636442617675629,0,62
9,"MD","No Task",3,"LEFT_PEDESTRIAN","Mainly brake",0,2.76670000000001,-1.44714500522639,5.31562953629976,0,62
9,"MD","No Task",3,"ONCOMING_VEHICLES","Mainly brake",0,-1.81669999999997,-1.28937086652348,1.03068227199654,0,62
9,"PAD","2-Back",4,"ONCOMING_VEHICLES","Mainly brake",0,-0.449999999999989,-0.706565152283907,1.3162066299539,0,62
9,"PAD","2-Back",4,"RIGHT_PEDESTRIAN","Mainly brake",0,2.66669999999999,1.10231161389977,0.510434931419402,0,62
9,"PAD","2-Back",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.96660000000003,1.02324451379712,1.96643008775489,0,62
10,"PAD","No Task",1,"LEFT_PEDESTRIAN","Mainly steer",1,1.40000000000001,-0.743483792350978,0.665144430059362,0,54
10,"PAD","No Task",1,"RIGHT_PEDESTRIAN","Brake and steer",1,1.75,-1.36439278634024,1.27722815281008,0,54
10,"MD","2-Back",2,"ONCOMING_VEHICLES","Mainly brake",0,1.7833,-1.49534403845185,0.560279048653139,0,54
10,"MD","2-Back",2,"LEFT_PEDESTRIAN","Mainly steer",1,2.48340000000002,-0.862477848375672,1.17431871214493,0,54
10,"PAD","2-Back",3,"ONCOMING_VEHICLES","Mainly brake",0,0.966700000000003,-0.49643838837908,0,1,54
10,"PAD","2-Back",3,"RIGHT_PEDESTRIAN","Mainly brake",0,1.90000000000003,-0.0343426072806349,1.29968843159428,0,54
10,"PAD","2-Back",3,"LEFT_PEDESTRIAN","Mainly brake",0,2.19999999999999,0.910945623865354,1.26,0,54
10,"MD","No Task",4,"ONCOMING_VEHICLES","Mainly brake",0,-0.566700000000026,-1.25911212362746,0.857610394494771,0,54
11,"PAD","No Task",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.69999999999999,1.36377226295509,1.88728145113964,0,44
11,"PAD","No Task",1,"ONCOMING_VEHICLES","Mainly brake",0,0.799999999999955,0.807961266119063,0,1,44
11,"PAD","No Task",1,"RIGHT_PEDESTRIAN",NA,NA,-0.833300000000008,NA,NA,NA,44
11,"PAD","2-Back",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.58330000000001,0.689204573179636,2.29117843449647,0,44
11,"PAD","2-Back",2,"ONCOMING_VEHICLES","Mainly brake",0,-1.88340000000005,0.121440222403026,3.37331312885697,0,44
11,"PAD","2-Back",2,"LEFT_PEDESTRIAN","Mainly brake",0,1.86670000000004,-0.766664358473064,2.68658772052114,0,44
11,"MD","No Task",3,"RIGHT_PEDESTRIAN","Mainly brake",0,1.23339999999999,0.715900956948001,2.82446129739993,0,44
11,"MD","No Task",3,"ONCOMING_VEHICLES","Mainly brake",0,0.61669999999998,0.365994881406093,1.79207564821812,0,44
11,"MD","2-Back",4,"LEFT_PEDESTRIAN","Mainly brake",0,0.766600000000039,-1.02608221120794,3.15095884489336,0,44
11,"MD","2-Back",4,"RIGHT_PEDESTRIAN","Mainly brake",0,1.1166,-0.925843524851479,3.47397803471056,0,44
11,"MD","2-Back",4,"ONCOMING_VEHICLES","Mainly brake",0,0.583300000000008,0.350594500272672,1.69506699560228,0,44
12,"PAD","No Task",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.79999999999995,0.578859817772753,1.56733318147769,0,50
12,"PAD","No Task",1,"RIGHT_PEDESTRIAN","Mainly brake",0,1.53340000000003,1.29789426693592,2.091286602071,0,50
12,"PAD","No Task",1,"ONCOMING_VEHICLES","Mainly brake",0,0.683400000000006,1.3582695881286,0.412417312004355,0,50
